id,Aspect_terms,Opinion_terms,sen_content
7,_,很喜欢,放暑假了，买来送孩子的礼物，正好学习也用得上。孩子很喜欢，说反应挺快。
8,包裹,很严实,非常好包裹很严实比我想象中的还要好用了一段时间来评价的我太喜欢了
8,_,非常好,非常好包裹很严实比我想象中的还要好用了一段时间来评价的我太喜欢了
8,时间,_,非常好包裹很严实比我想象中的还要好用了一段时间来评价的我太喜欢了
8,_,太喜欢,非常好包裹很严实比我想象中的还要好用了一段时间来评价的我太喜欢了
9,开机,快,笔记本电脑开机快，运行流畅，玩大游戏一点不卡顿，质量很好，非常满意，有需要还会回购的五星。
9,运行,流畅,笔记本电脑开机快，运行流畅，玩大游戏一点不卡顿，质量很好，非常满意，有需要还会回购的五星。
9,玩大游戏,一点不卡顿,笔记本电脑开机快，运行流畅，玩大游戏一点不卡顿，质量很好，非常满意，有需要还会回购的五星。
9,质量,很好,笔记本电脑开机快，运行流畅，玩大游戏一点不卡顿，质量很好，非常满意，有需要还会回购的五星。
9,_,非常满意,笔记本电脑开机快，运行流畅，玩大游戏一点不卡顿，质量很好，非常满意，有需要还会回购的五星。
10,系统,挺流畅,系统挺流畅，外观挺好看的，玩的挺爽，很喜欢，满意的！
10,外观,挺好看,系统挺流畅，外观挺好看的，玩的挺爽，很喜欢，满意的！
10,_,挺爽,系统挺流畅，外观挺好看的，玩的挺爽，很喜欢，满意的！
10,_,很喜欢，满意,系统挺流畅，外观挺好看的，玩的挺爽，很喜欢，满意的！
11,屏幕,很精致,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。
11,声音,清晰,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。
11,运行速度,快,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。
11,价格,低廉,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。
11,外观,_,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。
11,开机,_,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。
12,_,不错,不错，就是一开始键错位真的吓死我了
12,键错,_,不错，就是一开始键错位真的吓死我了
13,包装,完好,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,质量,非常好,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,做工,好,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,显卡速度,快,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,影像,清晰,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,携带,方便,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,外观材质,_,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
13,_,很实用,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。
14,玩游戏,流畅,玩游戏流畅，画面清晰。哈哈，满意
14,画面,清晰,玩游戏流畅，画面清晰。哈哈，满意
14,_,，满意,玩游戏流畅，画面清晰。哈哈，满意
15,速度,不差,还算不错的我第一次买电脑，感觉良好速度也不差。
15,_,良好,还算不错的我第一次买电脑，感觉良好速度也不差。
16,_,垃圾,垃圾**，垃圾，不想说话，你们买吧
17,_,很好,很好很不错
17,_,很不错,很好很不错
18,_,很不错,电脑用起来很不错，儿子很喜欢
18,_,很喜欢,电脑用起来很不错，儿子很喜欢
19,性价比,挺高,电脑性价比挺高的，用着很顺畅，包装很严密
19,包装,很严密,电脑性价比挺高的，用着很顺畅，包装很严密
19,_,很顺畅,电脑性价比挺高的，用着很顺畅，包装很严密
20,开机,快,电脑挺新的，开机也快
21,手感,超级好,很漂亮手感超级好但是用不惯还是旧电脑顺手感觉有点卡
21,_,很漂亮,很漂亮手感超级好但是用不惯还是旧电脑顺手感觉有点卡
21,_,有点卡,很漂亮手感超级好但是用不惯还是旧电脑顺手感觉有点卡
22,_,很喜欢,宝贝收到了，是正品，上手体验以后再来评价的，很喜欢跟店家描述一样
23,性能,非常棒,我买的这个黑色的显得非常尊贵，我非常喜欢，性能非常棒，弟弟说打游戏非常流畅果断好评
23,打游戏,非常流畅,我买的这个黑色的显得非常尊贵，我非常喜欢，性能非常棒，弟弟说打游戏非常流畅果断好评
23,_,喜欢,我买的这个黑色的显得非常尊贵，我非常喜欢，性能非常棒，弟弟说打游戏非常流畅果断好评
23,_,好评,我买的这个黑色的显得非常尊贵，我非常喜欢，性能非常棒，弟弟说打游戏非常流畅果断好评
24,_,的卡,入手千万要谨慎，轻薄本是真的卡，配置什么的，仅供参考?
24,_,仅供,入手千万要谨慎，轻薄本是真的卡，配置什么的，仅供参考?
25,_,_,就这样吧！
26,价格,合适,朋友介绍过来买的，价格合适，玩游戏不卡机，外观大气！
26,玩游戏,不卡机,朋友介绍过来买的，价格合适，玩游戏不卡机，外观大气！
26,外观,大气,朋友介绍过来买的，价格合适，玩游戏不卡机，外观大气！
27,画面,清晰,画面清晰，操作流畅，满意😁
27,操作,流畅，满意,画面清晰，操作流畅，满意😁
28,外观,凑合,外观还凑合，配置真的是太低，根本没法用
28,_,的是太低，根,外观还凑合，配置真的是太低，根本没法用
28,_,没法用,外观还凑合，配置真的是太低，根本没法用
29,玩游戏,一点也不卡,电脑上网玩游戏一点也不卡，挺快的，外观好看大小携带方便。价格也非常实惠。
29,外观,好看,电脑上网玩游戏一点也不卡，挺快的，外观好看大小携带方便。价格也非常实惠。
29,携带,方便,电脑上网玩游戏一点也不卡，挺快的，外观好看大小携带方便。价格也非常实惠。
29,价格,非常实惠,电脑上网玩游戏一点也不卡，挺快的，外观好看大小携带方便。价格也非常实惠。
29,上网,挺快,电脑上网玩游戏一点也不卡，挺快的，外观好看大小携带方便。价格也非常实惠。
29,大小,_,电脑上网玩游戏一点也不卡，挺快的，外观好看大小携带方便。价格也非常实惠。
30,性能,挺好的,性能挺好的，价格实惠，外观很新，性价比高
30,价格,实惠,性能挺好的，价格实惠，外观很新，性价比高
30,外观,很新,性能挺好的，价格实惠，外观很新，性价比高
30,性价比,高,性能挺好的，价格实惠，外观很新，性价比高
31,运行速度,很快,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,游戏画面,很清晰,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,样式,喜欢,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,性能,_,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,_,一点都不卡,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,_,卡,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,外观材质,_,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
31,做工,_,电脑性能：电脑的运行速度很快，一点都不卡显卡效果：游戏画面很清晰外观材质：是我喜欢的样式，做工精细
32,_,太沉了,比想象中的要厚，太沉了。
33,屏幕,有亮点,买了一台裸机，质量感觉不怎么样，屏幕有亮点.；真后悔.
33,质量,_,买了一台裸机，质量感觉不怎么样，屏幕有亮点.；真后悔.
34,性价比,高,看了很多家电脑觉得这个电脑性价比高，外观很难看，又经脏，运行速度很快，
34,外观,很难看,看了很多家电脑觉得这个电脑性价比高，外观很难看，又经脏，运行速度很快，
34,运行速度,很快,看了很多家电脑觉得这个电脑性价比高，外观很难看，又经脏，运行速度很快，
34,_,经脏,看了很多家电脑觉得这个电脑性价比高，外观很难看，又经脏，运行速度很快，
35,_,降价,买了不到10天就降价，不满意！！！！
36,_,请退差,6月30日买的，7月1号到货，7月4号发票收到，7月10号发现该产品降价511元，申请退差价，客服说以7月1日为准，不给退
37,_,有杂音,99g内存，下载最普通的flsh插件需要花钱，就一个c盘。机子有杂音，笔记本键盘下面的按咔咔响
37,_,按咔咔响,99g内存，下载最普通的flsh插件需要花钱，就一个c盘。机子有杂音，笔记本键盘下面的按咔咔响
38,性能,算流畅,外观材质：摸起来很舒服，而且好看！电脑性能：还算流畅哦，可以的
38,外观材质,_,外观材质：摸起来很舒服，而且好看！电脑性能：还算流畅哦，可以的
38,_,很舒服，,外观材质：摸起来很舒服，而且好看！电脑性能：还算流畅哦，可以的
38,_,好看,外观材质：摸起来很舒服，而且好看！电脑性能：还算流畅哦，可以的
38,_,，可以,外观材质：摸起来很舒服，而且好看！电脑性能：还算流畅哦，可以的
39,_,挺流畅不错,挺流畅不错
40,运行速度,快,电脑已经收到了哦，外观还挺新的！运行速度快，价格也很实惠
40,外观,挺新的,电脑已经收到了哦，外观还挺新的！运行速度快，价格也很实惠
40,价格,很实惠,电脑已经收到了哦，外观还挺新的！运行速度快，价格也很实惠
41,风扇,声太大,风扇声太大了，就开了几个word，失望
41,_,失望,风扇声太大了，就开了几个word，失望
42,_,不错,不错，很好
42,_,很好,不错，很好
43,_,还不错,已收到！看起来还不错，没让我失望，五星好评！
43,_,好评,已收到！看起来还不错，没让我失望，五星好评！
44,_,很少,很少网购评价觉得差不多就行这次实在忍无可忍掉电太快充满电不到两小时就没电了**这么做合适吗？
45,_,经常无缘无故黑屏,用了半个月不到经常无缘无故黑屏！
46,开机速度,非常快,开机速度非常快电脑运作也很流畅发货速度很快物美价廉非常好！
46,发货速度,很快,开机速度非常快电脑运作也很流畅发货速度很快物美价廉非常好！
46,运作,很流畅,开机速度非常快电脑运作也很流畅发货速度很快物美价廉非常好！
46,_,物美价廉,开机速度非常快电脑运作也很流畅发货速度很快物美价廉非常好！
46,_,非常好,开机速度非常快电脑运作也很流畅发货速度很快物美价廉非常好！
47,_,很牛批了,同价位能买到这样的笔记本很牛批了
48,屏幕分辨率,彩不行,屏幕分辨率，色彩不行，3999刚买就掉3899
49,画质,清晰,电脑性能稳定，画质清晰，超薄易携带，使用起来也比较流畅。感觉很满意😉
49,携带,比较流畅,电脑性能稳定，画质清晰，超薄易携带，使用起来也比较流畅。感觉很满意😉
49,性能,_,电脑性能稳定，画质清晰，超薄易携带，使用起来也比较流畅。感觉很满意😉
49,_,很满意,电脑性能稳定，画质清晰，超薄易携带，使用起来也比较流畅。感觉很满意😉
50,_,黑屏,频繁黑屏，找不到售后
51,性能,挺好,电脑性能挺好的，显卡效果挺快，外观材质也挺好，满意
51,显卡效果,挺快,电脑性能挺好的，显卡效果挺快，外观材质也挺好，满意
51,外观材质,挺好，满意,电脑性能挺好的，显卡效果挺快，外观材质也挺好，满意
52,_,大大大,大大大大大大大的差评。客服态度特次，给史上最大差评。
52,_,大,大大大大大大大的差评。客服态度特次，给史上最大差评。
52,_,差评,大大大大大大大的差评。客服态度特次，给史上最大差评。
52,客服态度,_,大大大大大大大的差评。客服态度特次，给史上最大差评。
52,_,最大差评,大大大大大大大的差评。客服态度特次，给史上最大差评。
53,屏幕,不亮,拿到手挺好的刚刚在设置密码的时候突然黑屏了，再然后怎么都不亮了，按键有灯就屏幕不亮说是没电电源一直插着还是不行
53,_,挺好的,拿到手挺好的刚刚在设置密码的时候突然黑屏了，再然后怎么都不亮了，按键有灯就屏幕不亮说是没电电源一直插着还是不行
53,_,黑屏,拿到手挺好的刚刚在设置密码的时候突然黑屏了，再然后怎么都不亮了，按键有灯就屏幕不亮说是没电电源一直插着还是不行
53,_,是不行,拿到手挺好的刚刚在设置密码的时候突然黑屏了，再然后怎么都不亮了，按键有灯就屏幕不亮说是没电电源一直插着还是不行
54,音响破音,_,音响破音
55,售后,不行,电脑还可以，售后不行，发了好几遍才回我问题
56,_,非常满意,非常满意
57,_,出现,经常出现黑屏蓝屏啥的，太水了这电脑
57,_,黑屏,经常出现黑屏蓝屏啥的，太水了这电脑
57,_,蓝屏,经常出现黑屏蓝屏啥的，太水了这电脑
58,上网,快,电脑上网快，外观漂亮，音质不错，色彩逼真
58,外观,漂亮,电脑上网快，外观漂亮，音质不错，色彩逼真
58,_,音质,电脑上网快，外观漂亮，音质不错，色彩逼真
58,_,不错,电脑上网快，外观漂亮，音质不错，色彩逼真
59,速度,很流畅,帮朋友代购的。好用，不卡。速度很流畅。
59,_,不卡,帮朋友代购的。好用，不卡。速度很流畅。
60,客服服务,很好,期待了很长时间，昨天下单，今天就送到了，电脑感觉很nice，各方面都不错，客服服务也很好，有点不懂一直麻烦人家🙈🙈🙈
60,_,很nice,期待了很长时间，昨天下单，今天就送到了，电脑感觉很nice，各方面都不错，客服服务也很好，有点不懂一直麻烦人家🙈🙈🙈
60,_,不错,期待了很长时间，昨天下单，今天就送到了，电脑感觉很nice，各方面都不错，客服服务也很好，有点不懂一直麻烦人家🙈🙈🙈
61,送货,快,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
61,包装,好,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
61,操作,流畅,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
61,反应,非常快,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
61,功能,慢,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
61,系统,_,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
61,风扇静音,_,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！
62,内存,大,很显档次，内存大，运程很快
62,运程,很快,很显档次，内存大，运程很快
63,性能,不错,性能不错，运行很快，满意
63,运行,很快,性能不错，运行很快，满意
63,_,满意,性能不错，运行很快，满意
64,质量,很好,质量很好，看上去就很养眼，用起来速度也很快，不错，真心喜欢！我还会介绍朋友买的！
64,速度,很快,质量很好，看上去就很养眼，用起来速度也很快，不错，真心喜欢！我还会介绍朋友买的！
64,_,很养眼,质量很好，看上去就很养眼，用起来速度也很快，不错，真心喜欢！我还会介绍朋友买的！
64,_,不错,质量很好，看上去就很养眼，用起来速度也很快，不错，真心喜欢！我还会介绍朋友买的！
64,_,真心喜欢,质量很好，看上去就很养眼，用起来速度也很快，不错，真心喜欢！我还会介绍朋友买的！
65,款式,时尚,笔记本电脑收到，整齐配置还不错，小巧方便携带款式时尚潮流，上网打游戏不卡顿，整齐来讲很满意！
65,打游戏,不卡顿,笔记本电脑收到，整齐配置还不错，小巧方便携带款式时尚潮流，上网打游戏不卡顿，整齐来讲很满意！
65,配置,不错,笔记本电脑收到，整齐配置还不错，小巧方便携带款式时尚潮流，上网打游戏不卡顿，整齐来讲很满意！
65,_,小巧方便携带,笔记本电脑收到，整齐配置还不错，小巧方便携带款式时尚潮流，上网打游戏不卡顿，整齐来讲很满意！
65,_,很满意,笔记本电脑收到，整齐配置还不错，小巧方便携带款式时尚潮流，上网打游戏不卡顿，整齐来讲很满意！
66,反应,很快,特别好，反应很快，而且挺新的很喜欢
66,_,特别好,特别好，反应很快，而且挺新的很喜欢
66,_,很喜欢,特别好，反应很快，而且挺新的很喜欢
67,_,有点后悔,有点后悔
68,_,买早了,买早了血亏
69,_,不释手了,爱不释手了
70,_,很不愉,很不愉快购物体验，莫名奇妙的死机，送的电脑包竟然没拉链，再也不会买**的电脑了
71,运行速度,不错,笔记本收到了，超薄是自己喜欢的款。性能运行速度都不错，满意！
71,_,超薄,笔记本收到了，超薄是自己喜欢的款。性能运行速度都不错，满意！
71,性能,_,笔记本收到了，超薄是自己喜欢的款。性能运行速度都不错，满意！
71,_,满意,笔记本收到了，超薄是自己喜欢的款。性能运行速度都不错，满意！
72,_,死机,这怎么第二次开机就死机了？
73,外观材质,高端大气上档次,外观材质：高端大气上档次宝贝和描述的一样好客服也很热情！！好评
73,客服,很热情,外观材质：高端大气上档次宝贝和描述的一样好客服也很热情！！好评
73,_,好评,外观材质：高端大气上档次宝贝和描述的一样好客服也很热情！！好评
74,_,挺不错的,还挺不错的
75,外观,很好看,笔记本用着还挺不错的，不卡反应挺快的，很喜欢这样薄的笔记本外观很好看！拿起来很轻便，很满意
75,反应,不卡,笔记本用着还挺不错的，不卡反应挺快的，很喜欢这样薄的笔记本外观很好看！拿起来很轻便，很满意
75,_,很喜欢,笔记本用着还挺不错的，不卡反应挺快的，很喜欢这样薄的笔记本外观很好看！拿起来很轻便，很满意
75,_,很轻便,笔记本用着还挺不错的，不卡反应挺快的，很喜欢这样薄的笔记本外观很好看！拿起来很轻便，很满意
75,_,，很满意,笔记本用着还挺不错的，不卡反应挺快的，很喜欢这样薄的笔记本外观很好看！拿起来很轻便，很满意
76,_,挺好的,挺好的，应该没翻车
76,_,没翻车,挺好的，应该没翻车
77,做资料,挺好,买了好几次了，价位合适，用着也不错，物超所值，用来办公做资料挺好
77,_,不错,买了好几次了，价位合适，用着也不错，物超所值，用来办公做资料挺好
77,_,物超所值,买了好几次了，价位合适，用着也不错，物超所值，用来办公做资料挺好
78,质量,特别好,质量特别好，玩游戏一点不卡，界面非常清晰
78,玩游戏,一点不卡,质量特别好，玩游戏一点不卡，界面非常清晰
78,界面,非常清晰,质量特别好，玩游戏一点不卡，界面非常清晰
79,显示卡效果,很棒,显示卡效果很棒，很不错哦，性能外观，材质都非常好，值得购买。
79,材质,非常好,显示卡效果很棒，很不错哦，性能外观，材质都非常好，值得购买。
79,外观,很不错,显示卡效果很棒，很不错哦，性能外观，材质都非常好，值得购买。
79,性能,_,显示卡效果很棒，很不错哦，性能外观，材质都非常好，值得购买。
80,_,差评,相差4天买了2台价格相**多元，因有价保服务找**，但**不认差评
81,手感,还行,刚到货手感还行屏幕清晰度不错就是还没用就开始有发热的现象还好评价晒图给送散热器和电脑包
81,屏幕清晰度,不错,刚到货手感还行屏幕清晰度不错就是还没用就开始有发热的现象还好评价晒图给送散热器和电脑包
81,发热,_,刚到货手感还行屏幕清晰度不错就是还没用就开始有发热的现象还好评价晒图给送散热器和电脑包
81,散热,_,刚到货手感还行屏幕清晰度不错就是还没用就开始有发热的现象还好评价晒图给送散热器和电脑包
82,运行速度,出其意,电脑运行速度出其意料的好，性价比很高，不亏。
82,性价比,_,电脑运行速度出其意料的好，性价比很高，不亏。
82,_,不亏,电脑运行速度出其意料的好，性价比很高，不亏。
83,物流,很快,电脑不错，很漂亮，物流也很快
83,_,不错,电脑不错，很漂亮，物流也很快
83,_,很漂亮,电脑不错，很漂亮，物流也很快
84,质量,很好,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。
84,画面,清晰,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。
84,运行,流畅,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。
84,外观,小巧精致,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。
84,方面,非常满意,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。
84,_,携带,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。
85,质量,_,给儿子买的，说实话这么贵的电脑网上买，心里不踏实。不过儿子说质量没问题，用过一段时间再来追评！
86,开机速度,挺快,机器目前用着还好，开机速度挺快
86,_,还好,机器目前用着还好，开机速度挺快
87,打游戏,卡,#，打游戏卡的一匹，客服根本解决不了问题
87,客服根,本解决,#，打游戏卡的一匹，客服根本解决不了问题
88,价格,_,价格是真坑，刚买完就降价320，还不给保价
88,_,降价,价格是真坑，刚买完就降价320，还不给保价
88,_,保价,价格是真坑，刚买完就降价320，还不给保价
89,物流,很快,物流很快那边发货隔天就能到今天收到了感觉总体满意，用过一段时间来追评
90,_,什么,不想说什么只想给差评
90,_,差评,不想说什么只想给差评
91,反应,快,反应快的，内存也大不卡，满意。:
91,内存,大,反应快的，内存也大不卡，满意。:
91,_,不卡,反应快的，内存也大不卡，满意。:
91,_,满意,反应快的，内存也大不卡，满意。:
92,_,挺满意,除了经常突然死机要修复问题和经常不识别指纹的问题之外，其他都挺满意
93,电池,不耐用,很快就卡了，电池不耐用
93,_,很快,很快就卡了，电池不耐用
94,价格,不贵,宝贝收到了，总体来总还是很好使用的，价格也不贵。
95,_,很好,宝贝很好，我很喜欢，很适合我们使用，嘿嘿
95,_,很喜欢,宝贝很好，我很喜欢，很适合我们使用，嘿嘿
95,_,很适,宝贝很好，我很喜欢，很适合我们使用，嘿嘿
96,_,不错,不错，不错，正品，用了有些天，整体用的都很顺，感应很灵活，小巧方便出差使用，给力
96,_,很顺，感,不错，不错，正品，用了有些天，整体用的都很顺，感应很灵活，小巧方便出差使用，给力
96,_,很灵活，小巧,不错，不错，正品，用了有些天，整体用的都很顺，感应很灵活，小巧方便出差使用，给力
96,_,方便出差,不错，不错，正品，用了有些天，整体用的都很顺，感应很灵活，小巧方便出差使用，给力
97,画质,很清晰,挺好的试用了一晚上画质很清晰运行很流畅特别满意
97,运行,很流畅,挺好的试用了一晚上画质很清晰运行很流畅特别满意
97,_,挺好,挺好的试用了一晚上画质很清晰运行很流畅特别满意
97,_,特别满意,挺好的试用了一晚上画质很清晰运行很流畅特别满意
98,物流,很快,物流很快，性价比高，运行流畅。
98,性价比,高,物流很快，性价比高，运行流畅。
98,运行,流畅,物流很快，性价比高，运行流畅。
99,_,圾，什么都不送,垃圾，什么都不送
100,质量,挺好,质量挺好的，试用效果也不错，价格实惠，非常满意
100,价格,实惠,质量挺好的，试用效果也不错，价格实惠，非常满意
100,用效果,不错,质量挺好的，试用效果也不错，价格实惠，非常满意
100,_,非常满意,质量挺好的，试用效果也不错，价格实惠，非常满意
101,看视频风扇声音,_,看视频风扇声音大的一批，感觉到了夏天会爆炸
101,_,会爆炸,看视频风扇声音大的一批，感觉到了夏天会爆炸
102,屏幕,很清晰,屏幕很清晰，使用便捷方便，键盘也好用，非常满意
102,_,方便,屏幕很清晰，使用便捷方便，键盘也好用，非常满意
102,_,非常满意,屏幕很清晰，使用便捷方便，键盘也好用，非常满意
103,质量,很好,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍物流超快
103,散热,很快,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍物流超快
103,成色,_,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍物流超快
103,_,很舒畅，不错,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍物流超快
103,_,物流,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍物流超快
103,_,超快,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍物流超快
104,_,有点卡,就是有点卡
105,性能,很好,性能很好
106,_,黑了,总得来说一般般，啥东西也没送，配件还是我自己买的，商家越来越黑了。
107,外观,很好看,外观很好看，性价比超高。买给弟弟的，他说很好。推荐。。。。
107,性价比,超高,外观很好看，性价比超高。买给弟弟的，他说很好。推荐。。。。
107,_,很好,外观很好看，性价比超高。买给弟弟的，他说很好。推荐。。。。
108,_,黑屏,花屏，黑屏，闪屏。无语
108,_,闪屏,花屏，黑屏，闪屏。无语
109,_,降价,差的#，买了就降价，也不给退货
110,屏幕,很清晰,电脑收到了，用了一下，屏幕很清晰，看电视看电影一点都不卡，价格也不贵，好评！！！
110,看电视看电影,一点都不卡,电脑收到了，用了一下，屏幕很清晰，看电视看电影一点都不卡，价格也不贵，好评！！！
110,价格,不贵,电脑收到了，用了一下，屏幕很清晰，看电视看电影一点都不卡，价格也不贵，好评！！！
110,_,好评,电脑收到了，用了一下，屏幕很清晰，看电视看电影一点都不卡，价格也不贵，好评！！！
111,看个视频,卡,看个视频都卡，真#的烦死人了
112,性能,好,电脑性能好，显卡效果清晰，网速流畅
112,显卡效果,清晰,电脑性能好，显卡效果清晰，网速流畅
112,网速,流畅,电脑性能好，显卡效果清晰，网速流畅
113,_,挺满意,刚回来还挺满意。但一用的话，就只打开个Office就发热的厉害，轻微烫手了都，好都没我手机降温好
113,fice,_,刚回来还挺满意。但一用的话，就只打开个Office就发热的厉害，轻微烫手了都，好都没我手机降温好
113,发热,_,刚回来还挺满意。但一用的话，就只打开个Office就发热的厉害，轻微烫手了都，好都没我手机降温好
114,_,卡的要死,用了一个月之后卡的要死，妈的，早知道不买这个牌子了！
115,_,很满意,很满意，就是我想要，放心购买
116,运行,非常快,笔记本电脑很薄很实用，运行非常快，画面高清。
116,画面,高清,笔记本电脑很薄很实用，运行非常快，画面高清。
116,_,很薄,笔记本电脑很薄很实用，运行非常快，画面高清。
117,_,降价,买完就降价了，好难过，差*块钱，简直了，之前客服还说不能有活动，真心不开心
