,id,id,Aspect_terms,Opinion_terms,Categories,Polarities
387,144,144,声大,_,硬件&性能,负面
388,144,144,_,快,价格,正面
389,145,145,外观,好漂亮,外观,正面
390,145,145,_,很好,整体,正面
391,145,145,_,非常满意,整体,正面
392,146,146,_,比错,整体,正面
393,147,147,运行,很快,硬件&性能,正面
394,147,147,性能,好用,硬件&性能,正面
395,147,147,外观材质,挺喜欢,外观,正面
396,147,147,设计,轻薄,外观,正面
397,147,147,手感,很舒服,外观,正面
398,147,147,显卡,_,硬件&性能,正面
399,148,148,运行,不错,硬件&性能,正面
400,148,148,外观设计,新颖独,外观,正面
401,148,148,屏幕,_,硬件&性能,正面
402,149,149,_,很好,整体,正面
403,150,150,网速,很快,硬件&性能,正面
404,150,150,_,不错,整体,正面
405,150,150,_,一点不卡,硬件&性能,正面
406,151,151,_,有点离谱,硬件&性能,负面
407,152,152,包装,严格,包装,正面
408,152,152,携带,方便,外观,正面
409,152,152,_,没有破损,包装,正面
410,152,152,_,一点也不卡,硬件&性能,正面
411,152,152,_,非常满意,整体,正面
412,153,153,屏幕,很清晰,硬件&性能,正面
413,153,153,_,很惊,整体,正面
414,153,153,开机,_,硬件&性能,正面
415,153,153,语音,_,价格,正面
416,153,153,_,很方便,整体,正面
417,154,154,鼠标,_,硬件&性能,负面
418,155,155,_,死机,硬件&性能,负面
419,156,156,质量,非常好,整体,正面
420,156,156,外观,好看,外观,正面
421,156,156,_,好评,整体,正面
422,156,156,_,正品,整体,正面
423,156,156,_,非常满意,整体,正面
424,157,157,反应,很快,硬件&性能,正面
425,157,157,_,很顺手,硬件&性能,正面
426,158,158,性价比,高,价格,正面
427,158,158,图案,清晰,硬件&性能,正面
428,158,158,外形,美观，颜色,外观,正面
429,158,158,运行速度,快,硬件&性能,正面
430,158,158,内存,大,硬件&性能,正面
431,158,158,_,好看,外观,正面
432,159,159,_,还不错,整体,正面
433,160,160,质量,很好,整体,正面
434,160,160,上网,很快,使用场景,正面
435,160,160,玩游戏,不会卡,使用场景,正面
436,160,160,_,方便携带,外观,正面
437,160,160,_,很满意,整体,正面
438,161,161,_,挺快的,硬件&性能,正面
439,162,162,_,还可以,整体,正面
440,163,163,性价比,非常的,价格,正面
441,163,163,带点娱乐,完全够用,使用场景,正面
442,163,163,价格,实惠,价格,正面
443,163,163,办公,_,使用场景,正面
444,164,164,散热,很一般,整体,负面
445,164,164,好点,优点并不多,整体,负面
446,165,165,系统,算流畅,包装,正面
447,166,166,,买了不到两周，降了400块。****,整体,负面
448,167,167,运行速度,很快,硬件&性能,正面
449,167,167,显示器,清晰,硬件&性能,正面
450,167,167,_,有磕碰划痕,价格,正面
451,168,168,性能,好,硬件&性能,正面
452,168,168,外观,漂亮,外观,正面
453,168,168,_,不卡,硬件&性能,正面
454,168,168,_,物有所值,价格,正面
455,169,169,_,很好,整体,正面
456,169,169,_,不卡,硬件&性能,正面
457,169,169,_,不错,整体,正面
458,170,170,方面,很好,整体,正面
459,170,170,_,很好用,整体,正面
460,170,170,_,很喜欢,整体,正面
461,171,171,_,垃圾,整体,负面
462,171,171,_,，卡,硬件&性能,负面
463,171,171,_,不行,整体,负面
464,172,172,画面,好,硬件&性能,正面
465,172,172,性能,流畅,硬件&性能,正面
466,172,172,外观材质,挺好看的,外观,正面
467,172,172,显卡,_,硬件&性能,正面
468,172,172,效果,_,硬件&性能,正面
469,173,173,质量,很好,整体,正面
470,173,173,配置,很高,硬件&性能,正面
471,173,173,_,很流畅，满意,整体,正面
472,174,174,_,非常喜欢,整体,正面
473,174,174,_,非常热情,硬件&性能,正面
474,174,174,_,耐心,真伪,正面
475,174,174,_,好评,整体,正面
476,175,175,性能,不错,硬件&性能,正面
477,175,175,玩游戏速度,快,使用场景,正面
478,175,175,整体效果,杠杠的,硬件&性能,正面
479,175,175,_,一点也不卡,硬件&性能,正面
480,176,176,按键,很敏感,硬件&性能,正面
481,176,176,_,流畅，满意,整体,正面
482,177,177,外观设计,漂亮,外观,正面
483,177,177,网速,快,硬件&性能,正面
484,177,177,包装,物超所值,价格,正面
485,178,178,反应,很慢,硬件&性能,负面
486,178,178,程热量,挺高,硬件&性能,负面
487,178,178,物流,真快，,使用场景,负面
488,178,178,_,怎么这么卡,硬件&性能,负面
489,179,179,运行,流畅，,硬件&性能,正面
490,179,179,外观,非常喜欢,外观,正面
491,179,179,材质,不错,外观,正面
492,179,179,软件,_,软件&性能,正面
493,179,179,_,不卡顿,硬件&性能,正面
494,179,179,_,满意,整体,正面
495,180,180,款式,挺好看,外观,正面
496,180,180,画面,清晰,硬件&性能,正面
497,180,180,音质,不错,硬件&性能,正面
498,180,180,电池待机时间,挺长,硬件&性能,正面
499,180,180,玩游戏,不卡,使用场景,正面
500,180,180,_,流畅,硬件&性能,正面
501,181,181,_,很不错,整体,正面
502,181,181,_,喜欢,整体,正面
503,182,182,_,一般,整体,中性
504,183,183,_,挺不错的,整体,正面
505,183,183,_,非常速度,硬件&性能,正面
506,183,183,_,不发热,硬件&性能,正面
507,183,183,_,挺快,硬件&性能,正面
508,184,184,性价比,高,价格,正面
509,184,184,_,挺好用,整体,正面
510,185,185,,感觉还行，还没用多久,整体,正面
511,186,186,_,会卡,硬件&性能,负面
512,187,187,性能,特好,硬件&性能,正面
513,187,187,反应,很快,硬件&性能,正面
514,187,187,运行,很块,硬件&性能,正面
515,187,187,显卡,不错,硬件&性能,正面
516,187,187,外观,高大上,外观,正面
517,187,187,_,好评,整体,正面
518,188,188,性价比,高,价格,正面
519,189,189,网速,很快,硬件&性能,正面
520,189,189,内存,大,硬件&性能,正面
521,189,189,携带,方便,外观,正面
522,189,189,_,挺薄的,外观,正面
523,190,190,外观,漂亮,外观,正面
524,190,190,运行,_,硬件&性能,正面
525,190,190,发货速度,_,硬件&性能,正面
526,191,191,_,还可以,整体,正面
527,191,191,_,很实用,使用场景,负面
528,192,192,质量,不错,整体,正面
529,192,192,性能,特别棒,硬件&性能,正面
530,192,192,外观设计,有型,外观,正面
531,192,192,反应,非常快,硬件&性能,正面
532,192,192,_,很时尚,外观,正面
533,193,193,开机,很快,硬件&性能,正面
534,193,193,屏幕,很舒服,硬件&性能,负面
535,193,193,_,很小巧,外观,正面
536,194,194,,用到目前为止，还行吧,整体,正面
537,195,195,_,好评,整体,负面
538,195,195,_,老板,整体,负面
539,196,196,_,蓝屏,硬件&性能,负面
540,196,196,_,退货,使用场景,负面
541,197,197,网速,非长快,硬件&性能,正面
542,197,197,性价比,高,价格,正面
543,197,197,外观,_,外观,正面
544,197,197,_,便宜,价格,正面
545,198,198,_,很喜欢,整体,正面
546,198,198,_,非常满意,整体,正面
547,199,199,CPU,很容易,硬件&性能,负面
548,199,199,_,超过,整体,负面
549,199,199,风扇声音,_,硬件&性能,负面
550,200,200,,经常开机死机，再开机正常，**赶紧找原因吧,整体,负面
551,201,201,_,黑屏,硬件&性能,负面
552,201,201,_,差评,整体,负面
553,202,202,外观,_,外观,正面
554,202,202,图片,_,使用场景,负面
555,203,203,速度,很快,硬件&性能,正面
556,203,203,外观,小巧精致,外观,正面
557,203,203,_,一点都不卡,硬件&性能,正面
558,203,203,_,使用,真伪,正面
559,203,203,_,特别方便,外观,正面
560,204,204,质量,很好,整体,正面
561,204,204,手感,不错,外观,正面
562,204,204,价格,挺值,价格,正面
563,205,205,_,卡的死死的，动都动不了,硬件&性能,负面
564,206,206,质量,很好,整体,正面
565,206,206,性价比,很高,价格,正面
566,207,207,_,不错,整体,正面
567,207,207,_,非常喜欢,整体,正面
568,207,207,_,望不错,整体,正面
569,208,208,_,挺不错,整体,正面
570,208,208,_,很流畅,硬件&性能,正面
571,208,208,_,非常好,整体,正面
572,209,209,_,很喜欢,整体,正面
573,210,210,_,很满意,整体,正面
574,211,211,_,很快,硬件&性能,正面
575,211,211,_,金士顿,整体,正面
576,212,212,_,很好,整体,负面
577,213,213,运行,很流畅,硬件&性能,正面
578,213,213,_,真的很优秀了,整体,正面
579,214,214,看看电影,不错,使用场景,正面
580,214,214,_,很满意,整体,正面
581,214,214,_,流畅,硬件&性能,正面
582,215,215,_,挺好看,外观,正面
583,215,215,_,料中快,价格,负面
584,216,216,_,方便，很不错,整体,正面
585,217,217,性价比,非常好,价格,正面
586,217,217,包装,很好,包装,正面
587,217,217,运行速度,挺流畅的,硬件&性能,正面
588,217,217,_,没有损,硬件&性能,正面
589,218,218,外观,很好看,外观,正面
590,218,218,_,很薄,外观,正面
591,218,218,_,很流畅,硬件&性能,正面
592,219,219,_,很差,整体,正面
593,220,220,屏幕,_,硬件&性能,负面
594,221,221,速度,很快,硬件&性能,正面
595,221,221,_,很精致漂亮,外观,正面
596,221,221,_,很方便,外观,正面
597,222,222,系统,故障，,软件&性能,负面
598,223,223,质量,很好,整体,正面
599,223,223,携带,方便,外观,正面
600,223,223,_,很好,整体,正面
601,223,223,_,很喜欢,整体,正面
602,224,224,客服服务态度,差到极点,服务,负面
603,225,225,发货速度,特别快,物流,正面
604,225,225,快递,_,价格,正面
605,225,225,_,特别方便,外观,正面
606,226,226,运行,很不错,硬件&性能,正面
607,227,227,包装,很好,包装,正面
608,227,227,物流,很快,物流,正面
609,227,227,_,很满意,整体,正面
610,228,228,_,差评,整体,负面
611,229,229,质量,很好,整体,正面
612,229,229,外观设计,很好看,外观,正面
613,229,229,_,超薄,外观,正面
614,229,229,_,小巧玲珑,外观,正面
615,229,229,_,，满意,整体,正面
616,230,230,反应,很快,硬件&性能,正面
617,230,230,外观材质,不错,外观,正面
618,230,230,价格,实惠,价格,正面
619,231,231,外观,不错,外观,正面
620,231,231,屏幕,清晰,硬件&性能,正面
621,231,231,运行,流畅,硬件&性能,正面
622,231,231,包装,很好,包装,正面
623,231,231,开机速度,很快,硬件&性能,正面
624,231,231,性价比,很高,价格,正面
625,231,231,_,没有卡顿,硬件&性能,正面
626,231,231,_,喜欢,整体,正面
627,232,232,_,差评,整体,负面
628,233,233,做工,极差,整体,负面
629,233,233,屏幕,_,硬件&性能,负面
630,234,234,玩游戏,不卡顿,使用场景,正面
631,234,234,速度,快,硬件&性能,正面
632,234,234,外观,时尚大气,外观,正面
633,234,234,_,很喜欢,整体,正面
634,234,234,_,超薄,外观,正面
635,234,234,_,好评,整体,正面
636,235,235,_,降价,价格,负面
637,236,236,材质,很好,外观,正面
638,236,236,性能,很流畅,硬件&性能,正面
639,237,237,发货,很快,物流,正面
640,237,237,外观,好看,外观,正面
641,237,237,运行速度,快,硬件&性能,正面
642,237,237,_,不错,整体,正面
643,238,238,运行,顺畅,硬件&性能,正面
644,238,238,画面,非常清晰,硬件&性能,正面
645,238,238,打游戏,不卡顿,使用场景,正面
646,238,238,随身携带,方便,外观,正面
647,238,238,软件,_,服务,正面
648,238,238,_,很喜欢,整体,正面
649,239,239,配置,不错,硬件&性能,负面
650,239,239,客服,很快,服务,负面
651,239,239,_,解决,使用场景,负面
652,240,240,质量,不错,整体,正面
653,240,240,_,挺好,整体,正面
654,241,241,功能,齐全,整体,正面
655,241,241,外观,特别喜欢,外观,正面
656,241,241,性能,不错,硬件&性能,正面
657,241,241,外观材质,_,外观,正面
658,242,242,外型,非常好看,外观,正面
659,242,242,运行速度,好,硬件&性能,正面
660,242,242,_,精致,外观,正面
661,242,242,_,优美,外观,正面
662,242,242,性比价,_,价格,正面
663,242,242,_,出现,外观,正面
664,243,243,性能,非常好,硬件&性能,正面
665,243,243,速度,，满意,整体,正面
666,243,243,外观,好看,外观,正面
667,243,243,打游戏,_,使用场景,正面
668,244,244,风扇声音,大,硬件&性能,负面
669,245,245,运行,流畅,硬件&性能,正面
670,245,245,_,不错,真伪,正面
671,245,245,_,很好,整体,中性
672,245,245,_,非常满意,整体,正面
673,246,246,开机,很快,硬件&性能,正面
674,246,246,配置,很给力,硬件&性能,正面
675,246,246,_,非常好,整体,正面
676,246,246,_,很高,外观,正面
677,247,247,运行,很快,硬件&性能,正面
