id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
50,速度,0,2,快,6,7,物流,正面
50,_, , ,很不错,12,15,整体,正面
51,_, , ,太细了,8,11,尺寸,负面
51,_, , ,不显色,12,15,功效,负面
51,_, , ,很容易断,16,20,其他,负面
52,玫瑰味道,11,15,好闻,16,18,气味,正面
52,使用感,19,22,非常好,23,26,使用体验,正面
52,_, , ,有效抚平毛糙,29,35,功效,正面
53,_, , ,差,11,12,整体,负面
54,_, , ,一点不好,0,4,整体,负面
54,_, , ,很卡,5,7,功效,负面
54,_, , ,不亮,11,13,功效,负面
55,_, , ,很好,0,2,整体,正面
55,_, , ,补水,4,6,功效,正面
56,_, , ,快,4,5,物流,正面
57,_, , ,很喜欢,0,3,整体,正面
57,价位,8,10,还不错,16,19,价格,正面
58,_, , ,喜欢,3,5,整体,正面
59,_, , ,不错,2,4,整体,正面
60,_, , ,很好用,4,7,整体,正面
61,色差,0,2,超级大,2,5,功效,负面
61,_, , ,差评,6,8,整体,负面
62,_, , ,不错,5,7,整体,正面
63,_, , ,喜欢,10,12,整体,正面
63,_, , ,很清爽,0,3,使用体验,正面
64,贴的纸,0,3,容易烂,6,9,其他,负面
64,_, , ,不舒服,15,18,使用体验,负面
65,_, , ,老顾客,0,3,整体,正面
66,_, , ,很好,16,18,整体,正面
67,_, , ,很好,6,8,整体,正面
68,_, , ,很香,5,7,气味,正面
68,_, , ,很好闻,7,10,气味,正面
69,_, , ,是正品,0,3,真伪,正面
69,小礼品,4,7,很实用,8,11,价格,正面
70,价格,22,24,小贵,24,26,价格,负面
71,_, , ,挺好用的,0,4,整体,正面
71,_, , ,细腻,5,7,使用体验,正面
71,_, , ,温和,7,9,使用体验,正面
71,_, , ,不刺激,9,12,使用体验,正面
71,_, , ,不错,13,15,整体,正面
72,活动,21,23,_, , ,价格,正面
73,_, , ,挺好的,0,3,整体,正面
73,质量,11,13,不错,13,15,整体,正面
73,外壳,4,6,好看,7,9,包装,正面
73,_, , ,挺漂亮的,16,20,整体,正面
74,_, , ,好评,0,2,整体,正面
75,_, , ,很滋润,50,53,使用体验,正面
75,保湿性,54,57,很强,57,59,功效,正面
75,_, , ,紧致肌肤,60,64,功效,正面
75,_, , ,不错,64,66,整体,正面
76,保湿效果,13,17,很好,17,19,功效,正面
77,味道,5,7,超级大,7,10,气味,负面
78,_, , ,不错,8,10,整体,正面
78,_, , ,很喜欢,11,14,整体,正面
79,_, , ,挺好用,2,5,整体,正面
79,_, , ,挺舒服,6,9,整体,正面
79,_, , ,挺干净,10,13,功效,正面
80,_, , ,很好用,6,9,整体,正面
81,味道,6,8,太大了,11,14,气味,负面
82,遮瑕,5,7,挺好的,7,10,功效,正面
83,_, , ,垃圾的要死,3,8,整体,负面
83,_, , ,缩了,15,17,功效,负面
83,_, , ,不干,26,28,使用体验,负面
84,_, , ,不是很好用,5,10,整体,负面
85,_, , ,好用,0,2,整体,正面
85,_, , ,很划算,21,24,价格,正面
86,大小,24,26,很方便携带,26,31,尺寸,正面
87,_, , ,到货很快,16,20,物流,正面
88,_, , ,挺好的,15,18,整体,正面
88,_, , ,有点香,21,24,气味,负面
88,_, , ,不适应,27,30,气味,负面
89,活动,30,32,_, , ,价格,负面
89,_, , ,挺合适的,16,20,整体,正面
90,快递,23,25,很快,26,28,物流,正面
91,颜色,2,4,很喜欢,5,8,功效,正面
92,_, , ,软软的,0,3,使用体验,正面
92,触感,3,5,很好,5,7,使用体验,正面
93,_, , ,蛮好用的,1,5,整体,正面
93,_, , ,不会油,17,20,使用体验,正面
94,_, , ,清爽,11,13,使用体验,正面
94,_, , ,干净,14,16,功效,正面
94,_, , ,挺温和,18,21,使用体验,正面
95,_, , ,控油,5,7,功效,正面
95,_, , ,挺好,54,56,整体,正面
96,_, , ,还好,0,2,整体,正面
97,_, , ,还行,0,2,整体,正面
97,_, , ,透不过气,10,14,使用体验,负面
98,_, , ,不容易上妆,0,5,使用体验,负面
99,_, , ,钝,2,3,功效,负面
99,_, , ,刮不下来,7,11,功效,负面
100,上妆,0,2,很容易,5,8,功效,正面
100,_, , ,非常好,11,14,整体,正面
101,_, , ,好用,0,2,整体,正面
102,_, , ,一如既往地好,0,6,整体,正面
103,_, , ,很棒,0,2,整体,正面
104,_, , ,物美价廉,4,8,价格,正面
104,_, , ,便宜,37,39,价格,正面
104,_, , ,好用,45,47,整体,正面
105,效果,6,8,不错,8,10,功效,正面
105,_, , ,满意,11,13,整体,正面
106,_, , ,不好,0,2,整体,负面
106,_, , ,容易掉色,3,7,功效,负面
106,_, , ,卡,8,9,功效,负面
107,_, , ,优惠,16,18,价格,正面
108,质量,0,2,不错,2,4,整体,正面
108,_, , ,喜欢,5,7,整体,正面
109,物流,6,8,非常慢,9,12,物流,负面
109,_, , ,不是很好涂,18,23,使用体验,负面
109,_, , ,容易结块,24,28,功效,负面
110,_, , ,非常好看,0,4,整体,正面
110,_, , ,美美哒,5,8,整体,正面
110,_, , ,喜欢,9,11,整体,正面
111,_, , ,真的不怎么样,0,6,整体,负面
111,_, , ,不上妆,7,10,功效,负面
112,上妆效果,0,4,还行,6,8,功效,正面
112,持久情况,9,13,_, , ,功效,正面
113,_, , ,还可以,2,5,整体,正面
113,_, , ,很划算,6,9,价格,正面
114,香味,14,16,淡淡的,11,14,气味,正面
114,_, , ,白的自然,19,23,功效,正面
114,_, , ,超喜欢,24,27,整体,正面
115,刀架子,0,3,不好,3,5,其他,负面
115,_, , ,根本就不能用,6,12,整体,负面
116,客服,26,28,不满意,30,33,服务,负面
117,_, , ,还不错,11,14,整体,正面
118,_, , ,很好,13,15,整体,正面
119,_, , ,还不错,3,6,整体,正面
119,_, , ,挺好用的,23,27,整体,正面
119,价格,27,29,实惠,30,32,价格,正面
120,_, , ,好用,3,5,整体,正面
120,物流到货,16,20,很快,21,23,物流,正面
121,上色,2,4,不够好,4,7,功效,负面
122,_, , ,非常好,0,3,整体,正面
122,_, , ,好帖,8,10,使用体验,正面
122,_, , ,好喜欢,5,8,整体,正面
123,_, , ,很划算,0,3,价格,正面
123,_, , ,好评,4,6,整体,正面
124,_, , ,超级难用,2,6,整体,负面
125,_, , ,刚刚好,6,9,整体,正面
126,上妆效果,0,4,牛逼,5,7,功效,正面
126,_, , ,超级好用,9,13,整体,正面
127,客服,7,9,热心,9,11,服务,正面
128,_, , ,还行,5,7,整体,正面
128,味道,10,12,有点重,12,15,气味,负面
128,_, , ,就像没洗干净,30,36,功效,负面
128,_, , ,不是很满意,43,48,整体,负面
129,_, , ,很划算,19,22,价格,正面
130,粉,0,1,很细腻,1,4,使用体验,正面
130,上脸效果,5,9,很好,9,11,功效,正面
130,_, , ,很满意,28,31,整体,正面
131,价格,10,12,实惠,12,14,价格,正面
132,_, , ,不理想,0,3,整体,负面
132,泡沫,17,19,不细腻,20,23,使用体验,负面
132,_, , ,洗不干净,11,15,功效,负面
132,_, , ,失望,25,27,整体,负面
133,上妆效果,0,4,满好的,5,8,功效,正面
133,_, , ,不错,17,19,整体,正面
133,_, , ,很自然,20,23,功效,正面
134,_, , ,不错,0,2,整体,正面
134,到货,3,5,快,5,6,物流,正面
134,_, , ,服帖,7,9,使用体验,正面
135,_, , ,挺持久,0,3,功效,正面
135,_, , ,哑光,4,6,功效,正面
135,_, , ,喜欢,13,15,整体,正面
136,清洁能力,0,4,很好,8,10,功效,正面
136,味道,11,13,挺好闻,14,17,气味,正面
136,_, , ,挺好用的,19,23,整体,正面
136,_, , ,好评,24,26,整体,正面
137,_, , ,挺好的,0,3,整体,正面
137,包装,4,6,精美,6,8,包装,正面
137,包装,4,6,漂亮,8,10,包装,正面
137,_, , ,是正品,14,17,真伪,正面
138,_, , ,还不错,7,10,整体,正面
138,_, , ,挺好用的,11,15,整体,正面
139,效果,4,6,一般般,0,3,功效,中性
140,吸收,0,2,挺快的,2,5,使用体验,正面
140,活动,24,26,很划算,32,35,价格,正面
141,_, , ,脸生疼,5,8,使用体验,负面
142,活动,7,9,_, , ,价格,正面
143,香味,4,6,浓郁,6,8,气味,正面
143,遮瑕效果,9,13,非常好,13,16,功效,正面
143,_, , ,是正品,0,3,真伪,正面
144,_, , ,不错,0,2,整体,正面
144,_, , ,挺好的,5,8,整体,正面
145,客服,28,30,_, , ,服务,正面
146,_, , ,不油腻,0,3,使用体验,正面
146,_, , ,很赞,4,6,整体,正面
147,_, , ,还可以,3,6,整体,正面
147,_, , ,不能遮暇,7,11,功效,负面
148,_, , ,正品,0,2,真伪,正面
149,_, , ,还可以,2,5,整体,正面
149,物流,13,15,很快,15,17,物流,正面
150,_, , ,物美价廉,0,4,价格,正面
150,_, , ,非常满意,5,9,整体,正面
150,补水效果,14,18,很好,18,20,功效,正面
150,_, , ,很薄,24,26,使用体验,正面
151,_, , ,还不错,2,5,整体,正面
151,_, , ,挺实惠的,6,10,价格,正面
152,_, , ,很不错,3,6,整体,正面
152,_, , ,不紧绷,10,13,使用体验,正面
152,_, , ,温和,14,16,使用体验,正面
152,_, , ,不刺激,16,19,使用体验,正面
152,_, , ,好评,20,22,整体,正面
153,_, , ,不错,13,15,整体,正面
153,_, , ,温和,16,18,使用体验,正面
153,_, , ,无刺激,18,21,使用体验,正面
153,_, , ,很满意,29,32,整体,正面
154,_, , ,是正品,16,19,真伪,正面
154,_, , ,一如既往的好,2,8,整体,正面
155,_, , ,非常细腻,0,4,使用体验,正面
156,包装盒,0,3,压扁了,3,6,包装,负面
156,快递,7,9,很负责,9,12,物流,正面
157,_, , ,非常好,6,9,整体,正面
158,_, , ,比较清爽,8,12,使用体验,正面
159,_, , ,还好,16,18,整体,正面
160,_, , ,非常好,0,3,整体,正面
161,质量,0,2,不怎么样,2,6,整体,负面
161,泡沫,15,17,没什么,12,15,使用体验,负面
161,_, , ,洗不净,20,23,使用体验,负面
161,_, , ,很不开森,27,31,整体,负面
161,_, , ,最垃圾,39,42,整体,负面
162,_, , ,非常好用,0,4,整体,正面
163,_, , ,便宜,0,2,价格,正面
163,_, , ,好用,2,4,整体,正面
163,精华,12,14,多,14,15,成分,正面
164,_, , ,还好,5,7,整体,正面
165,_, , ,还可,13,15,整体,正面
166,_, , ,好用,10,12,整体,正面
167,_, , ,很不错,8,11,整体,正面
168,价格,8,10,没有原来美好,10,16,价格,中性
168,_, , ,很划算,0,3,价格,正面
168,_, , ,一直棒棒,38,42,整体,正面
168,_, , ,实惠,44,46,价格,正面
169,_, , ,很好吸收,11,15,使用体验,正面
169,_, , ,比较稀,7,10,使用体验,正面
170,成膜,0,2,较慢,2,4,功效,负面
170,_, , ,油腻,5,7,使用体验,负面
170,_, , ,一般,12,14,整体,负面
171,_, , ,也就那样,0,4,整体,负面
172,_, , ,还不错,15,18,整体,正面
173,包装,6,8,完好,8,10,包装,正面
173,_, , ,很干净,13,16,功效,正面
173,_, , ,很温和,20,23,使用体验,正面
173,_, , ,不刺激,24,27,使用体验,正面
173,_, , ,非常清爽,34,38,使用体验,正面
173,_, , ,不紧绷,39,42,使用体验,正面
174,_, , ,是正品,2,5,真伪,正面
175,_, , ,不错,13,15,整体,正面
175,_, , ,挺水润的,25,29,使用体验,正面
175,物流,30,32,杠杠的,32,35,物流,正面
175,_, , ,喜欢,36,38,整体,正面
176,物流,21,23,超级快,24,27,物流,正面
176,_, , ,超级划算,5,9,价格,正面
177,味道,0,2,可以的,2,5,气味,正面
177,_, , ,不错,9,11,整体,正面
178,_, , ,不好,7,9,整体,负面
179,_, , ,太不容易干了,0,6,使用体验,负面
180,_, , ,很舒服,9,12,使用体验,正面
180,_, , ,不紧绷,5,8,使用体验,正面
180,_, , ,好用,0,2,整体,正面
181,_, , ,超级好用,8,12,整体,正面
182,_, , ,不油腻,13,16,使用体验,正面
182,_, , ,保湿,11,13,功效,正面
182,_, , ,补水,9,11,功效,正面
182,_, , ,好很多,5,8,整体,正面
183,_, , ,破刀架,2,5,其他,负面
183,塑料,5,7,软软的,7,10,其他,负面
184,盒子,0,2,坏的,3,5,包装,负面
184,_, , ,差评,6,8,整体,负面
185,_, , ,太容易断了,1,6,其他,负面
186,_, , ,物美价廉,12,16,价格,正面
186,_, , ,不错,17,19,整体,正面
187,_, , ,好评,17,19,整体,正面
188,_, , ,很好,4,6,整体,正面
189,_, , ,很好,2,4,整体,正面
189,_, , ,喜欢,5,7,整体,正面
190,_, , ,好用,46,48,整体,正面
191,_, , ,完美,17,19,使用体验,正面
192,_, , ,有些油,0,3,使用体验,负面
193,_, , ,很好用,0,3,整体,正面
194,发货,15,17,很快,17,19,物流,正面
194,包装,20,22,仔细,22,24,包装,正面
195,_, , ,挺不错的,6,10,整体,正面
196,_, , ,很好,13,15,整体,正面
196,_, , ,非常满意,16,20,整体,正面
197,色号,0,2,发错,4,6,物流,负面
198,包装,5,7,坏了,7,9,包装,负面
199,_, , ,挺好的,11,14,整体,正面
199,_, , ,很薄,15,17,整体,正面
199,_, , ,水分又多,18,22,使用体验,正面
200,_, , ,好用,6,8,整体,正面
201,_, , ,效果很好,0,4,整体,正面
202,_, , ,很补水,7,10,使用体验,正面
202,物流,19,21,棒棒哒,21,24,物流,正面
202,物流,19,21,棒棒哒,21,24,物流,正面
202,_, , ,是正品,2,5,真伪,正面
202,服务,16,18,棒棒哒,21,24,服务,正面
203,_, , ,好用,0,2,整体,正面
204,颜色,0,2,很暗淡,2,5,功效,负面
204,_, , ,不顺,10,12,使用体验,负面
205,快递师傅,0,4,很给力,4,7,物流,正面
206,_, , ,很喜欢,6,9,整体,正面
206,_, , ,超级好用,12,16,整体,正面
207,_, , ,满意,5,7,整体,正面
207,清洁,17,19,可以,20,22,功效,正面
207,_, , ,挺清爽的,12,16,使用体验,正面
207,_, , ,好白了,30,33,功效,正面
208,_, , ,很好用,2,5,整体,正面
209,_, , ,痒,39,40,使用体验,负面
209,_, , ,伴有大片小红疙瘩,43,51,使用体验,负面
210,_, , ,不会很干,6,10,使用体验,正面
210,_, , ,好用,0,2,整体,正面
211,_, , ,很喜欢,0,3,整体,正面
211,_, , ,好看,12,14,整体,正面
211,_, , ,很自然,15,18,功效,正面
212,盖子,13,15,高级,15,17,包装,正面
213,物流,3,5,值得信赖,5,9,物流,正面
213,_, , ,很满意,12,15,整体,正面
214,_, , ,很温和,3,6,使用体验,正面
215,_, , ,很好,2,4,整体,正面
215,物流,4,6,很给力,8,11,物流,正面
216,保湿,6,8,持久,8,10,功效,正面
216,赠品,22,24,多,25,26,价格,正面
216,_, , ,太好用,15,18,整体,正面
217,瓶子,0,2,好好看,2,5,包装,正面
218,_, , ,超级不错,2,6,整体,正面
218,_, , ,细腻,7,9,使用体验,正面
218,配送员服务,13,18,超好,18,20,物流,正面
218,_, , ,点赞,21,23,整体,正面
218,_, , ,不起块,9,12,使用体验,正面
219,_, , ,很好用,0,3,整体,正面
219,_, , ,好喜欢,13,16,整体,正面
220,快递员,16,19,特别有耐心,19,24,物流,正面
221,_, , ,很轻薄,3,6,使用体验,正面
222,_, , ,好用,0,2,整体,正面
223,眉刀,2,4,垃圾,0,2,其他,负面
223,_, , ,根本刮不动,4,9,功效,负面
224,增白的效果,6,11,有一点,3,6,功效,正面
224,_, , ,很好,0,2,整体,正面
225,肤色,0,2,自然,2,4,功效,正面
225,_, , ,提亮肤色,5,9,功效,正面
225,_, , ,很细腻,10,13,使用体验,正面
226,_, , ,清香型,29,32,气味,正面
226,_, , ,很喜欢,33,36,整体,正面
227,_, , ,还不错,5,8,整体,正面
228,_, , ,挺好,2,4,整体,正面
229,_, , ,舒服,2,4,使用体验,正面
230,_, , ,不错,0,2,整体,正面
230,_, , ,好自然,14,17,功效,正面
231,_, , ,很划算,4,7,价格,正面
232,_, , ,太坑了,12,15,整体,负面
232,_, , ,不好上色,18,22,功效,负面
232,_, , ,差,23,24,整体,负面
233,服务,5,7,超级贴心,0,4,服务,正面
233,香味,15,17,淡淡的,12,15,气味,正面
233,_, , ,蛮保湿的,23,27,功效,正面
233,赠品,30,32,很好,33,35,价格,正面
234,_, , ,很好,26,28,整体,正面
234,_, , ,不错,46,48,整体,正面
234,_, , ,温和,49,51,使用体验,正面
234,_, , ,不刺激,51,54,使用体验,正面
235,_, , ,一点都不黏,0,5,功效,负面
235,_, , ,更本撕不掉,5,10,功效,负面
236,物流,6,8,很快,8,10,物流,正面
236,发货,12,14,快,15,16,物流,正面
236,_, , ,喜欢,29,31,整体,正面
236,掌柜,34,36,特别好,37,40,服务,正面
237,_, , ,轻薄,0,2,使用体验,正面
237,_, , ,清爽,2,4,使用体验,正面
237,_, , ,不油腻,4,7,使用体验,正面
238,价格,16,18,合适,19,21,价格,正面
238,_, , ,很好用,7,10,整体,正面
239,_, , ,一般,5,7,整体,中性
240,_, , ,水水润润的,8,13,使用体验,正面
240,_, , ,真的很好,19,23,整体,正面
240,补水,14,16,_, , ,功效,正面
241,_, , ,好用,0,2,整体,正面
241,补水效果,3,7,很好,7,9,功效,正面
241,活动,13,15,很实惠,16,19,价格,正面
242,_, , ,还不错,2,5,整体,正面
243,_, , ,不错,8,10,整体,正面
243,瓶盖设计,13,17,好巨大,17,20,包装,负面
244,_, , ,不错,2,4,整体,正面
244,_, , ,还可以,5,8,整体,正面
245,_, , ,还不错,0,3,整体,正面
246,_, , ,很开心,16,19,整体,正面
247,_, , ,贼好用,0,3,整体,正面
248,_, , ,不错,8,10,整体,正面
249,_, , ,超好用,0,3,整体,正面
249,_, , ,不卡粉,4,7,使用体验,正面
250,_, , ,不油腻,20,23,使用体验,正面
251,物流,29,31,很快,31,33,物流,正面
252,_, , ,不容易脱妆,35,40,使用体验,正面
253,_, , ,很好用,0,3,整体,正面
253,价格,4,6,便宜,6,8,价格,正面
253,_, , ,实惠,9,11,价格,正面
254,_, , ,可以的,2,5,整体,正面
255,_, , ,还不错,0,3,整体,正面
255,味道,10,12,香,12,13,气味,正面
255,味道,10,12,不刺鼻,15,18,气味,正面
255,_, , ,有点儿掉妆,21,26,使用体验,负面
256,_, , ,挺显白的,0,4,功效,正面
256,_, , ,不容易推开,22,27,使用体验,负面
257,_, , ,超级好用,0,4,整体,正面
257,_, , ,超级划算,5,9,价格,正面
258,精华液,2,5,很多,0,2,成分,正面
258,面膜纸,6,9,薄透,10,12,使用体验,正面
259,_, , ,超级划算,11,15,价格,正面
260,遮瑕,5,7,非常好,12,15,功效,正面
260,保湿效果,8,12,非常好,12,15,功效,正面
261,_, , ,不错,0,2,整体,正面
261,_, , ,喜欢,3,5,整体,正面
262,快递,8,10,太快,10,12,物流,正面
263,_, , ,很好用,0,3,整体,正面
263,_, , ,很自然,9,12,功效,正面
263,_, , ,很舒服,13,16,使用体验,正面
264,_, , ,很不错,0,3,整体,正面
264,_, , ,清澈,4,6,使用体验,正面
265,_, , ,非常好,0,3,整体,正面
265,_, , ,软软的,6,9,使用体验,正面
265,_, , ,很有分量,13,17,整体,正面
266,_, , ,非常满意,0,4,整体,正面
267,_, , ,超赞,0,2,整体,正面
267,_, , ,保湿,18,20,功效,正面
267,_, , ,滋润,21,23,功效,正面
268,粉质,0,2,太差了,2,5,使用体验,负面
269,_, , ,非常喜欢,0,4,整体,正面
270,_, , ,是正品,0,3,真伪,正面
270,_, , ,很好,5,7,整体,正面
270,_, , ,不过敏,19,22,使用体验,正面
271,_, , ,很好,7,9,整体,正面
271,_, , ,喜欢,9,11,整体,正面
272,_, , ,辣眼睛,0,3,使用体验,负面
273,_, , ,很棒,0,2,整体,正面
273,_, , ,很服帖,2,5,使用体验,正面
273,_, , ,不会浮粉,5,9,使用体验,正面
273,_, , ,很显白,10,13,功效,正面
274,_, , ,还可以,6,9,整体,正面
274,_, , ,不会过敏,10,14,使用体验,正面
274,价位,17,19,很好,21,23,价格,正面
275,颜色,7,9,挺自然的,9,13,功效,正面
275,物流,18,20,特别快,20,23,物流,正面
276,_, , ,相当好用,5,9,整体,正面
277,_, , ,好,1,2,整体,正面
278,塑封袋,4,7,_, , ,包装,负面
278,_, , ,好假,15,17,真伪,负面
278,_, , ,不开心,24,27,整体,负面
279,质量,0,2,很不错,2,5,整体,正面
279,_, , ,挺好,7,9,整体,正面
280,_, , ,喜欢,0,2,整体,正面
280,画眉,14,16,很自然,16,19,功效,正面
281,_, , ,贼垃圾,0,3,整体,负面
281,包装,11,13,好看,13,15,包装,正面
282,油漆味,2,5,严重,0,2,气味,负面
283,颜色,5,7,很正,7,9,功效,正面
283,_, , ,不错,2,4,整体,正面
284,_, , ,清凉,2,4,使用体验,正面
284,_, , ,不错,14,16,整体,正面
284,_, , ,是正品,7,10,真伪,正面
284,_, , ,水润,0,2,使用体验,正面
285,_, , ,不错,0,2,整体,正面
285,_, , ,挺细腻的,3,7,使用体验,正面
286,_, , ,还不错,11,14,整体,正面
287,_, , ,很不错,0,3,整体,正面
287,_, , ,卫生,16,18,整体,正面
287,_, , ,方便,19,21,使用体验,正面
288,快递,5,7,很给力,7,10,物流,正面
289,_, , ,碎了,5,7,其他,负面
289,_, , ,不靠谱,8,11,整体,负面
290,_, , ,好评,5,7,整体,正面
291,颜色,0,2,有很大差距,2,7,功效,负面
291,_, , ,很干,8,10,使用体验,负面
292,味道,0,2,难闻,2,4,气味,负面
292,_, , ,干的没法涂,4,9,使用体验,负面
292,质量,9,11,难以描述的差,11,17,整体,负面
293,_, , ,不错,0,2,整体,正面
293,_, , ,挺好用的,3,7,整体,正面
294,_, , ,断掉了,7,10,其他,负面
294,质量,11,13,太差了,13,16,整体,负面
295,_, , ,不是很显色,0,5,功效,负面
296,_, , ,不好,0,2,整体,负面
296,味道,3,5,太重了,5,8,气味,负面
296,_, , ,很难干,11,14,使用体验,负面
296,_, , ,不好看,18,21,整体,负面
297,_, , ,碎的,7,9,其他,负面
298,_, , ,没有图片上好看,0,7,整体,负面
298,质感,8,10,不是很好,11,15,使用体验,负面
298,_, , ,马马虎虎,16,20,整体,负面
298,_, , ,挺失望的,21,25,整体,负面
298,_, , ,巨土,35,37,整体,负面
299,物流,12,14,快,14,15,物流,正面
299,快递小哥,18,22,_, , ,物流,正面
300,_, , ,挺好的,4,7,整体,正面
301,_, , ,可以,0,2,整体,正面
302,_, , ,还行,0,2,整体,正面
302,_, , ,太香了,4,7,气味,负面
302,泡泡,8,10,比较少,10,13,使用体验,负面
302,_, , ,不太喜欢,14,18,气味,负面
303,_, , ,断了,6,8,其他,负面
303,_, , ,不好,8,10,整体,负面
304,_, , ,挺滋润的,0,4,功效,正面
305,_, , ,很好用,0,3,整体,正面
305,分量,4,6,很足,6,8,其他,正面
305,上脸,15,17,不厚重,17,20,功效,正面
306,_, , ,很好,4,6,整体,正面
306,_, , ,很清爽,7,10,使用体验,正面
307,_, , ,超值,33,35,价格,正面
307,_, , ,超级便宜,18,22,价格,正面
308,_, , ,很不错,18,21,整体,正面
309,起泡,6,8,很快,8,10,使用体验,正面
309,_, , ,无刺激,11,14,使用体验,正面
309,清香味,18,21,_, , ,气味,正面
309,配件,26,28,很丰富,29,32,价格,正面
310,快递员,0,3,超级差,8,11,物流,负面
311,上妆,0,2,遮瑕,5,7,功效,正面
311,持久,8,10,_, , ,功效,正面
312,_, , ,好,0,1,整体,正面
313,_, , ,很清爽,11,14,使用体验,正面
314,物流,0,2,快,2,3,物流,正面
314,_, , ,好评,12,14,整体,正面
315,_, , ,挺好的,0,3,整体,正面
315,_, , ,不油腻,7,10,使用体验,正面
315,_, , ,挺适合,19,22,整体,正面
316,_, , ,有点小贵,10,14,价格,正面
317,洁面,3,5,很温和,5,8,功效,正面
317,_, , ,不错,0,2,整体,正面
318,外观,22,24,很好看,25,28,包装,正面
319,_, , ,便宜,22,24,价格,正面
319,_, , ,是正品,14,17,真伪,正面
320,_, , ,很划算,7,10,价格,正面
321,价位,0,2,经济,2,4,价格,正面
321,价位,0,2,实惠,4,6,价格,正面
321,_, , ,挺好的,13,16,整体,正面
321,_, , ,挺补水的,17,21,功效,正面
322,_, , ,不错,8,10,整体,正面
322,_, , ,很满意,11,14,整体,正面
