id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
54,_, , ,物美价廉,23,27,价格,正面
55,_, , ,很棒,0,2,整体,正面
55,_, , ,真不错,6,9,整体,正面
55,_, , ,好评,12,14,整体,正面
56,键盘,19,21,居然脱落了,21,26,硬件&性能,负面
56,发热,38,40,厉害,52,54,硬件&性能,负面
57,外形,2,4,还可以,4,7,外观,正面
57,_, , ,卡,32,33,整体,负面
58,_, , ,被别人用过,2,7,外观,负面
58,键盘,8,10,有指纹印,11,15,外观,负面
59,外观,0,2,很漂亮,2,5,外观,正面
60,运行速度,0,4,很流畅,4,7,硬件&性能,正面
60,办公,8,10,绝对没问题,10,15,使用场景,正面
61,材质,5,7,结实,7,9,外观,正面
61,_, , ,轻薄,10,12,外观,正面
61,携带,12,14,方便,14,16,外观,正面
61,运行速度,19,23,非常快,23,26,硬件&性能,正面
61,打游戏,28,31,不卡,32,34,使用场景,正面
61,打游戏,28,31,很喜欢,35,38,整体,正面
62,外观,14,16,精致,11,13,外观,正面
62,性能,20,22,很好,22,24,硬件&性能,正面
62,网速,28,30,非常流畅,30,34,硬件&性能,正面
63,_, , ,超级差,3,6,整体,负面
63,开机,11,13,特别慢,13,16,硬件&性能,负面
63,办公软件,17,21,安装不了,22,26,软件&性能,负面
63,客服,36,38,不能解决问题,40,46,服务,负面
64,_, , ,还不错,2,5,整体,正面
64,_, , ,十分满意,6,10,整体,正面
65,运行速度,0,4,快,4,5,硬件&性能,正面
65,外观,5,7,很好,7,9,外观,正面
65,游戏娱乐,9,13,不错,13,15,使用场景,正面
66,_, , ,特别满意,14,18,整体,正面
66,_, , ,好评,19,21,整体,正面
67,转动转轴,5,9,开始闪屏,10,14,硬件&性能,负面
68,_, , ,比较满意,2,6,整体,正面
68,玩穿越火线,6,11,一点都不卡,11,16,使用场景,正面
69,手感,0,2,很好,2,4,外观,正面
69,开机速度,5,9,很快,9,11,硬件&性能,正面
70,物流,0,2,很快,2,4,物流,正面
70,_, , ,还可以,9,12,整体,正面
71,接口,0,2,有问题,2,5,硬件&性能,负面
72,_, , ,不错,2,4,整体,负面
72,_, , ,降价,18,20,价格,负面
73,价格,2,4,低了不少,5,9,价格,正面
73,屏幕的分辨率,25,31,惨不忍睹,33,37,硬件&性能,负面
74,质量,0,2,挺好的,2,5,整体,正面
74,外观,6,8,挺好看,8,11,外观,正面
74,_, , ,不错,11,13,整体,正面
74,_, , ,挺满意的,13,17,整体,正面
75,_, , ,很舒服,2,5,整体,正面
76,散热,7,9,太差了,9,12,硬件&性能,负面
76,CPU,34,37,长期80℃,37,42,硬件&性能,负面
76,_, , ,卡得受不了,43,48,硬件&性能,负面
77,_, , ,卡死了,2,5,硬件&性能,负面
77,_, , ,反应不过来,6,11,硬件&性能,负面
77,_, , ,慢,12,13,硬件&性能,负面
77,声音,14,16,卡顿,16,18,硬件&性能,负面
77,声音,14,16,吱吱吱的,19,23,硬件&性能,负面
77,_, , ,不行,27,29,整体,负面
78,外观,16,18,不错,18,20,外观,正面
78,分辨率,23,26,不是很高,26,30,硬件&性能,负面
78,字体,37,39,不清晰,39,42,其他,负面
78,功能运行,45,49,较慢,49,51,硬件&性能,负面
79,外观,0,2,好看,2,4,外观,正面
79,运行,5,7,流畅,7,9,硬件&性能,正面
79,_, , ,很喜欢,11,14,整体,正面
80,外观,8,10,较新,10,12,外观,正面
80,办公,13,15,不卡,17,19,使用场景,正面
80,游戏,15,17,不卡,17,19,使用场景,正面
80,使用感,19,22,满意,22,24,使用场景,正面
81,_, , ,非常满意,6,10,整体,正面
82,_, , ,有点卡,11,14,硬件&性能,负面
82,_, , ,有爆音,17,20,硬件&性能,负面
82,音质,21,23,很不好,23,26,硬件&性能,负面
83,_, , ,坏的,4,6,整体,负面
83,_, , ,开不了机,11,15,硬件&性能,负面
83,服务态度,16,20,还可以,20,23,服务,正面
84,发货,0,2,快,2,3,物流,正面
84,服务,4,6,好,6,7,服务,正面
84,_, , ,很实用,24,27,整体,正面
84,_, , ,不卡,28,30,硬件&性能,正面
85,LOL,2,5,卡,6,7,使用场景,负面
86,_, , ,挺好的,2,5,整体,正面
86,质量,6,8,可以,8,10,整体,正面
86,_, , ,很满意,14,17,整体,正面
87,外观,2,4,很不错,4,7,外观,正面
87,_, , ,很方便携带,9,14,外观,正面
87,办公制图,19,23,_, , ,使用场景,正面
88,画面,6,8,清晰,8,10,硬件&性能,正面
88,运行速度,11,15,快,15,16,硬件&性能,正面
88,玩游戏,17,20,不卡,21,23,使用场景,正面
88,价格,24,26,不贵,26,28,价格,正面
89,_, , ,很惊艳,7,10,整体,正面
89,快递,11,13,不错,14,16,物流,正面
89,客服,32,34,很耐心,35,38,服务,正面
90,游戏,19,21,不能打,16,19,使用场景,负面
90,做表格,41,44,还可以,44,47,使用场景,正面
90,玩lol,32,36,有点卡,36,39,使用场景,负面
90,_, , ,一般般,11,14,整体,中性
91,_, , ,不错,2,4,整体,正面
91,速度,14,16,很快,17,19,硬件&性能,正面
92,_, , ,物美廉价,7,11,价格,正面
92,_, , ,五星,12,14,整体,正面
92,_, , ,是原厂的,2,6,真伪,正面
93,_, , ,很不错,0,3,整体,正面
94,_, , ,真心不错,7,11,整体,正面
94,外型,12,14,简单时尚,14,18,外观,正面
94,屏幕,19,21,清淅,21,23,硬件&性能,正面
94,反应,24,26,也快,26,28,硬件&性能,正面
95,_, , ,不推荐,9,12,整体,负面
96,性能,2,4,不错,4,6,硬件&性能,正面
96,玩游戏,7,10,很流畅,10,13,使用场景,正面
96,外观,14,16,漂亮大气,16,20,外观,正面
96,价格,21,23,美丽,25,27,价格,正面
96,_, , ,很满意,28,31,整体,正面
97,运行,5,7,流畅,7,9,硬件&性能,正面
97,游戏画面,19,23,好,23,24,硬件&性能,正面
97,运行,5,7,不卡顿,10,13,硬件&性能,正面
97,外观材质,25,29,无色差,32,35,外观,正面
97,性价比,41,44,高,44,45,价格,正面
98,_, , ,差评,0,2,整体,负面
98,_, , ,一个星都不想给,3,10,整体,负面
99,_, , ,没有损坏,2,6,整体,正面
99,_, , ,很喜欢,8,11,整体,正面
99,开机,12,14,非常快,14,17,硬件&性能,正面
99,服务态度,18,22,很好,23,25,服务,正面
99,_, , ,不错,28,30,整体,正面
100,分辨率,0,3,太低,3,5,硬件&性能,负面
100,_, , ,五星差评,10,14,整体,负面
101,运行,7,9,很快,9,11,硬件&性能,正面
101,打游戏,12,15,一点也不卡,15,20,使用场景,正面
101,质量,27,29,很好,29,31,整体,正面
101,外观,32,34,很薄,34,36,外观,正面
101,_, , ,很喜欢,37,40,整体,正面
102,外观,10,12,很大方,12,15,外观,正面
102,运行速度,16,20,也快,20,22,硬件&性能,正面
102,价格,23,25,不贵,26,28,价格,正面
102,_, , ,满意,29,31,整体,正面
103,_, , ,降价,4,6,价格,负面
103,_, , ,差评,29,31,整体,负面
104,_, , ,无法开机,0,4,硬件&性能,负面
105,包装,6,8,仔细完好无损,8,14,包装,正面
105,反应,17,19,灵敏,19,21,硬件&性能,正面
105,速度,26,28,非常快,28,31,硬件&性能,正面
105,内存,32,34,大,34,35,硬件&性能,正面
105,手感,36,38,好,38,39,外观,正面
105,_, , ,非常满意,40,44,整体,正面
105,价格,45,47,亲民,48,50,价格,正面
106,_, , ,很不错,21,24,整体,正面
106,_, , ,很有气质,27,31,外观,正面
107,_, , ,很好看,7,10,外观,正面
108,电池耐用度,21,26,一般,26,28,硬件&性能,中性
108,重量,29,31,有点偏重,31,35,外观,负面
109,_, , ,老出问题,9,13,整体,负面
109,_, , ,经常卡,35,38,硬件&性能,负面
110,_, , ,假货伪劣,11,15,真伪,负面
111,_, , ,会卡,6,8,硬件&性能,负面
111,_, , ,掉价,14,16,价格,负面
112,性能,8,10,非常不错,10,14,硬件&性能,正面
112,反应,15,17,灵敏快捷,17,21,硬件&性能,正面
112,_, , ,一点儿也不卡顿,22,29,硬件&性能,正面
112,外表,30,32,非常大气,35,39,外观,正面
112,质量,40,42,很好,42,44,整体,正面
112,做工,45,47,精细,47,49,外观,正面
113,质量,0,2,很不错,2,5,整体,正面
113,性价比,6,9,高,9,10,价格,正面
113,性能,11,13,强劲,13,15,硬件&性能,正面
113,外观,16,18,还不错,18,21,外观,正面
113,客服服务态度,22,28,很好,28,30,服务,正面
113,售后,31,33,有保障,33,36,服务,正面
114,_, , ,很好,4,6,整体,正面
114,外观设计,7,11,好看霸气,11,15,外观,正面
114,性能,18,20,非常好,21,24,硬件&性能,正面
114,运行,26,28,流畅,28,30,硬件&性能,正面
114,_, , ,一点都不卡,31,36,硬件&性能,正面
114,显示,39,41,非常高清,41,45,硬件&性能,正面
114,_, , ,很棒,46,48,整体,正面
115,_, , ,不行,2,4,整体,负面
116,_, , ,可以,2,4,整体,正面
116,_, , ,杠杠滴,6,9,整体,正面
116,性價比,10,13,很高,13,15,价格,正面
117,性能,2,4,挺好的,4,7,硬件&性能,正面
117,_, , ,超薄,8,10,外观,正面
117,_, , ,非常的漂亮,11,16,外观,正面
117,屏显分辨率,17,22,高,22,23,硬件&性能,正面
117,音质,24,26,快,32,33,硬件&性能,正面
117,运行速度,28,32,快,32,33,硬件&性能,正面
117,_, , ,非常的满意,34,39,整体,正面
118,_, , ,非常帅气,0,4,外观,正面
118,_, , ,很喜欢,5,8,整体,正面
118,性能,9,11,很不错,12,15,硬件&性能,正面
119,_, , ,卡顿,0,2,硬件&性能,负面
119,_, , ,秒卡顿,3,6,硬件&性能,负面
120,_, , ,很好用,0,3,整体,正面
120,_, , ,一点也不卡顿,4,10,硬件&性能,正面
120,_, , ,很流畅,11,14,硬件&性能,正面
121,_, , ,降价,15,17,价格,负面
121,_, , ,不怎么好,46,50,整体,负面
122,看电视,5,8,卡机,11,13,使用场景,负面
122,电池寿命,34,38,还可以,38,41,硬件&性能,正面
123,_, , ,一般,2,4,整体,中性
124,_, , ,好,12,13,整体,正面
124,外观,14,16,轻薄,16,18,外观,正面
124,_, , ,很轻巧,19,22,外观,正面
124,_, , ,便于携带,23,27,外观,正面
124,内存,28,30,大,30,31,硬件&性能,正面
124,画面,32,34,超清晰,34,37,硬件&性能,正面
124,玩游戏,38,41,很爽,41,43,使用场景,正面
124,_, , ,一点都不卡顿,44,50,硬件&性能,正面
125,包装,9,11,很好,11,13,包装,正面
125,包装,9,11,很严实,13,16,包装,正面
125,_, , ,很漂亮,19,22,外观,正面
125,_, , ,没问题,27,30,整体,正面
125,_, , ,非常满意,31,35,整体,正面
126,_, , ,不错,8,10,整体,正面
126,运行打天下3,27,33,完美运行,33,37,使用场景,正面
126,_, , ,没毛病,53,56,整体,正面
127,_, , ,蓝屏,7,9,硬件&性能,负面
128,画面,0,2,流畅清晰,2,6,硬件&性能,正面
128,价格,7,9,实惠,9,11,价格,正面
128,_, , ,非常满意,12,16,整体,正面
129,_, , ,还可以,0,3,整体,正面
129,_, , ,满意,6,8,整体,正面
130,材质,5,7,优良,7,9,外观,正面
130,运行速度,10,14,快,14,15,硬件&性能,正面
130,屏幕,16,18,清晰,18,20,硬件&性能,正面
130,_, , ,很满意,21,24,整体,正面
131,颜色,7,9,好看,9,11,外观,正面
131,运速,12,14,超快,14,16,硬件&性能,正面
131,打游戏,17,20,一点都不卡,20,25,使用场景,正面
131,屏幕,26,28,清晰,28,30,硬件&性能,正面
131,_, , ,这么好,37,40,整体,正面
131,_, , ,非常值,46,49,价格,正面
131,_, , ,满意,50,52,整体,正面
132,性能,2,4,挺流畅的,5,9,硬件&性能,正面
132,_, , ,不会卡顿,10,14,硬件&性能,正面
132,开机,15,17,很快,18,20,硬件&性能,正面
133,_, , ,还行,14,16,整体,正面
133,_, , ,挺快的,17,20,硬件&性能,正面
134,系统,3,5,非常流畅,5,9,软件&性能,正面
134,_, , ,顺滑,35,37,软件&性能,正面
134,_, , ,很喜欢,37,40,整体,正面
135,_, , ,有点卡,0,3,硬件&性能,负面
136,_, , ,很好用,0,3,整体,正面
137,包装,2,4,真心感觉不行,12,18,包装,负面
138,包装,6,8,很严实,8,11,包装,正面
138,包装,6,8,没有破损,11,15,包装,正面
138,_, , ,很薄,23,25,外观,正面
138,_, , ,喜欢,28,30,整体,正面
139,_, , ,好评,0,2,整体,正面
139,键盘,5,7,热点,7,9,硬件&性能,负面
140,_, , ,降价,12,14,价格,负面
141,散热,2,4,不太好,4,7,硬件&性能,负面
142,质量,0,2,不错,2,4,整体,正面
142,_, , ,非常好,5,8,整体,正面
142,整体,10,12,很满意,12,15,整体,正面
143,_, , ,还可以,2,5,整体,正面
143,_, , ,有点卡,8,11,硬件&性能,负面
144,质量,6,8,很好,8,10,整体,正面
144,使用,11,13,方便,13,15,使用场景,正面
144,_, , ,很满意,16,19,整体,正面
145,做工,0,2,很棒,2,4,外观,正面
145,性能,5,7,不错,8,10,硬件&性能,正面
145,工作使用,19,23,完全足够,23,27,使用场景,正面
146,手感,0,2,很好,2,4,外观,正面
146,外型,5,7,漂亮,8,10,外观,正面
146,_, , ,轻巧便于携带,11,17,外观,正面
146,物流速度,18,22,快,22,23,物流,正面
147,性能,7,9,不错,9,11,硬件&性能,正面
147,运行速度,12,16,很快,16,18,硬件&性能,正面
147,外观材质,19,23,特别的好,24,28,外观,正面
148,声音,0,2,不错,2,4,硬件&性能,正面
148,散热,9,11,不好,11,13,硬件&性能,负面
149,_, , ,很不错,0,3,整体,正面
149,反应,13,15,很快,15,17,硬件&性能,正面
149,_, , ,不卡顿,18,21,硬件&性能,正面
149,_, , ,很满意,24,27,整体,正面
150,质量,2,4,不怎么样,4,8,整体,负面
150,_, , ,坏了,19,21,整体,负面
151,_, , ,很好用,2,5,整体,正面
151,_, , ,高端,6,8,整体,正面
151,_, , ,大气,9,11,整体,正面
151,_, , ,上档次,12,15,整体,正面
151,_, , ,特别好用,16,20,整体,正面
151,_, , ,满足,34,36,整体,正面
151,价钱,25,27,物有所值,29,33,价格,正面
152,包装,4,6,好,6,7,包装,正面
152,物流,7,9,快,9,10,物流,正面
152,_, , ,很精致,10,13,外观,正面
152,玩游戏,13,16,很流畅,16,19,使用场景,正面
152,颜色,19,21,正,21,22,外观,正面
153,运行,2,4,挺快的,4,7,硬件&性能,正面
153,_, , ,一点也不卡,8,13,硬件&性能,正面
153,画面,14,16,清晰,16,18,硬件&性能,正面
153,大小,19,21,非常喜欢,21,25,外观,正面
153,_, , ,超溥,25,27,外观,正面
153,携带,27,29,方便,29,31,外观,正面
153,_, , ,十分满意,32,36,整体,正面
154,_, , ,很好看,2,5,外观,正面
154,_, , ,很好用,11,14,整体,正面
154,客服,15,17,很好,17,19,服务,正面
155,_, , ,一般般,2,5,整体,中性
155,服务,6,8,差,8,9,服务,负面
155,快递员服务态度,10,17,恶劣,17,19,服务,负面
156,_, , ,有点厚,0,3,外观,负面
156,服务,4,6,死气沉沉,6,10,服务,负面
157,运行速度,0,4,很快,4,6,硬件&性能,正面
157,屏幕,6,8,很清晰,8,11,硬件&性能,正面
157,视觉效果,12,16,很好,16,18,硬件&性能,正面
157,打游戏,19,22,一点都不卡,22,27,使用场景,正面
157,价格,28,30,很优惠,30,33,价格,正面
158,_, , ,还可以,0,3,整体,正面
158,箱子,18,20,大了很多,25,29,包装,负面
158,性能,30,32,没话说,32,35,硬件&性能,正面
159,运行速度,0,4,还可以,4,7,硬件&性能,正面
159,打游戏,8,11,没问题,11,14,使用场景,正面
159,屏幕,15,17,挺清晰的,18,22,硬件&性能,正面
159,性价比,27,30,挺高的,30,33,价格,正面
160,运行,5,7,不卡顿,9,12,硬件&性能,正面
160,运行,5,7,流畅,7,9,硬件&性能,正面
160,游戏画面,18,22,好,22,23,硬件&性能,正面
160,材质,29,31,不错,31,33,外观,正面
160,外观,33,35,很看,35,37,外观,正面
161,开机速度,0,4,非常快,4,7,硬件&性能,正面
161,手感,16,18,非常好,20,23,外观,正面
161,_, , ,很静音,24,27,硬件&性能,正面
161,性价比,33,36,很高,36,38,价格,正面
162,_, , ,很实惠,0,3,价格,正面
162,_, , ,很轻,4,6,外观,正面
162,速度,7,9,很快,9,11,硬件&性能,正面
163,_, , ,卡的要死,4,8,硬件&性能,负面
164,质量,0,2,很好,2,4,整体,正面
164,屏幕,5,7,清晰,7,9,硬件&性能,正面
164,_, , ,不卡顿,10,13,硬件&性能,正面
164,_, , ,非常给力,14,18,整体,正面
164,_, , ,满意,19,21,整体,正面
165,成色,2,4,挺新的,4,7,外观,正面
165,开机,8,10,挺快,10,12,硬件&性能,正面
165,_, , ,还可以,15,18,整体,正面
165,看视频,19,22,挺流畅的,26,30,使用场景,正面
165,上个网,23,26,挺流畅的,26,30,使用场景,正面
165,价格,39,41,实惠,41,43,价格,正面
166,_, , ,降价,7,9,价格,负面
167,_, , ,很棒棒,0,3,整体,正面
167,_, , ,超赞,32,34,整体,正面
167,_, , ,很喜欢,12,15,整体,正面
167,物流速度,35,39,很快,40,42,物流,正面
168,_, , ,很不错,6,9,整体,正面
168,外观,9,11,好看精致,11,15,外观,正面
168,打游戏速度,16,21,挺快,21,23,使用场景,正面
168,_, , ,一点也不卡,23,28,硬件&性能,正面
169,_, , ,非常高端,0,4,外观,正面
169,_, , ,精致,8,10,外观,正面
169,开机速度,11,15,非常快,15,18,硬件&性能,正面
169,客服服务,19,23,耐心,23,25,服务,正面
170,_, , ,非常nice,0,6,整体,正面
171,_, , ,死机,6,8,硬件&性能,负面
172,外观设计,0,4,漂亮,4,6,外观,正面
172,_, , ,流畅不卡,7,11,硬件&性能,正面
173,性能,0,2,非常好,2,5,硬件&性能,正面
173,玩什么游戏,11,16,不卡,17,19,使用场景,正面
174,性能,0,2,强,2,3,硬件&性能,正面
174,外观,4,6,美观大方,6,10,外观,正面
174,_, , ,划算,14,16,价格,正面
174,_, , ,很满意,19,22,整体,正面
175,_, , ,好漂亮,0,3,外观,正面
176,_, , ,挺好的,0,3,整体,正面
176,开机,4,6,挺快,6,8,硬件&性能,正面
176,_, , ,没有网线接口,11,17,硬件&性能,负面
176,_, , ,只能接WIFI,18,25,硬件&性能,负面
176,鼠标,29,31,_, , ,硬件&性能,负面
177,_, , ,不咋滴,0,3,整体,负面
178,外观,0,2,九成新,2,5,外观,正面
178,开机速度,6,10,快,10,11,硬件&性能,正面
178,_, , ,很顺畅,15,18,硬件&性能,正面
178,待机时间,19,23,长,23,24,硬件&性能,正面
178,_, , ,很棒,25,27,整体,正面
179,_, , ,很轻薄,0,3,外观,正面
179,速度,3,5,很快,6,8,硬件&性能,正面
179,发货速度,9,13,也快,13,15,物流,正面
180,外观,6,8,精致好看,8,12,外观,正面
180,性能,13,15,强,15,16,硬件&性能,正面
180,_, , ,高清大屏 幕,17,23,硬件&性能,正面
180,_, , ,轻薄便携,24,28,外观,正面
180,_, , ,经济实用,30,34,价格,正面
181,质量,5,7,好,7,8,整体,正面
181,网数,9,11,快,11,12,硬件&性能,正面
181,屏幕,13,15,清晰,15,17,硬件&性能,正面
182,运行,4,6,很快,6,8,硬件&性能,正面
182,玩游戏,9,12,太好了,12,15,使用场景,正面
183,_, , ,不错,0,2,整体,正面
183,WINDOWS10,9,18,有点不习惯,19,24,软件&性能,负面
184,内存条,19,22,不一样,27,30,硬件&性能,负面
184,显示器,23,26,不一样,27,30,硬件&性能,负面
184,_, , ,差评,3,5,整体,负面
184,_, , ,有问题,11,14,整体,负面
185,_, , ,非常的漂亮,5,10,外观,正面
185,_, , ,超薄款,11,14,外观,正面
185,款式,20,22,喜欢,17,19,外观,正面
185,_, , ,很流畅,27,30,硬件&性能,正面
185,_, , ,非常喜欢,31,35,整体,正面
186,质量,2,4,很好,4,6,整体,正面
186,开机速度,7,11,快,11,12,硬件&性能,正面
187,鼠标,3,5,坏了,11,13,硬件&性能,负面
188,质量,5,7,好,7,8,整体,正面
188,价格,9,11,实惠,11,13,价格,正面
188,网速,14,16,快,16,17,硬件&性能,正面
188,携带,18,20,方便,20,22,外观,正面
188,_, , ,满意,23,25,整体,正面
188,_, , ,好评,25,27,整体,正面
189,_, , ,中评,4,6,整体,中性
189,系统,25,27,还算流畅,28,32,软件&性能,正面
189,客服,33,35,还可以,35,38,服务,正面
189,快递,39,41,五星好评,42,46,物流,正面
190,_, , ,不是很好,0,4,整体,负面
190,_, , ,特别卡,11,14,硬件&性能,负面
190,_, , ,卡成狗,19,22,硬件&性能,负面
191,_, , ,不错,11,13,整体,正面
